class,period,tranDur,radE,earthFlux,eqTemp,effTemp,radS
1,0.00948803557,0.029575,0.00226,0.009359,0.0793,0.5455,0.0927
1,0.0544183827,0.04507,0.00283,0.0009109999999999,0.0443,0.5455,0.0927
1,0.01989913995,0.017822,0.0146,0.0039299999999999,0.0638,0.5853,0.0868
0,0.001736952453,0.0240641,0.03346,0.089196,0.1395,0.5805,0.0791
1,0.0025255917769999,0.016545,0.00275,0.0926159999999999,0.1406,0.6031,0.1046
1,0.01109432054,0.045945,0.0039,0.011481,0.0834999999999999,0.6046,0.0972
1,0.00413443512,0.031402,0.00277,0.042765,0.1159999999999999,0.6046,0.0972
1,0.00256658897,0.02429,0.00159,0.080774,0.136,0.6046,0.0972
0,0.00736178958,0.05022,0.03921,0.076722,0.1342,0.6227,0.1958
1,0.0160686467399999,0.0353469999999999,0.0057599999999999,0.003075,0.06,0.5031,0.0848
1,0.0024706133769999,0.0174319,0.01304,0.076146,0.1339,0.582,0.0964
1,0.002204735417,0.0388864,0.0161,0.414892,0.2048,0.644,0.1951999999999999
1,0.003522498429,0.0319843,0.01459,0.126467,0.1520999999999999,0.6225,0.1451
1,0.0037092141039999,0.026302,0.00116,0.050046,0.1206,0.5833,0.1022
0,0.01152144606,0.036399,0.1505099999999999,0.0075879999999999,0.0753,0.5795,0.0848
0,0.01940393776,0.122155,0.00718,0.001769,0.0523,0.5043,0.068
0,0.01922138894,0.0479843,0.04929,0.0055969999999999,0.0698,0.6117,0.0946999999999999
0,0.01646983774,0.0943779999999999,0.00794,0.002961,0.0595,0.5152,0.0786
1,0.00927358173,0.032875,0.00247,0.004185,0.0649,0.4856,0.0696
1,0.0060293032899999,0.015821,0.00285,0.005004,0.0678,0.4537,0.0672
0,0.002696370652,0.0361289999999999,0.00158,0.030534,0.1066,0.4989,0.0819
1,0.005349553819,0.030278,0.0025499999999999,0.016899,0.0919,0.5185,0.091
1,0.00394105221,0.0259839999999999,0.0017,0.025315,0.1018,0.5185,0.091
1,0.00810904807,0.03596,0.0013,0.009703,0.08,0.5185,0.091
0,0.3866030528,0.0680569999999999,0.0415,0.000184,0.0296999999999999,0.5543,0.158
1,0.02167699193,0.0345549999999999,0.00295,0.001864,0.053,0.4954,0.0828
1,0.00499677968,0.021717,0.00278,0.0166949999999999,0.0917,0.5339,0.0847
1,0.004280963604,0.02875,0.0023,0.024787,0.1012,0.5644,0.0831
0,0.00150635409,0.015155,0.00453,0.1054119999999999,0.1452,0.5714,0.0831
0,0.670645531,0.53412,0.01414,3.5e-05,0.0196,0.552,0.0983
0,0.0612563628,0.07633,0.0398699999999999,0.0015429999999999,0.0505,0.6144,0.1091
1,0.0383775486,0.05588,0.00282,0.001853,0.0529,0.5481,0.1036
1,0.04119725502,0.046297,0.0038599999999999,0.0008759999999999,0.0439,0.5031,0.0848
1,0.006252962249,0.025819,0.00265,0.01083,0.0823,0.5031,0.0848
1,0.01601308419,0.032554,0.0031,0.002931,0.0593,0.5015,0.0825999999999999
1,0.03262876672,0.047971,0.0033599999999999,0.001555,0.0506,0.5586,0.0798
1,0.0917732862,0.06473,0.00212,0.000392,0.0359,0.5586,0.0798
1,0.0049593192439999,0.0222739,0.01221,0.03494,0.1103,0.5712,0.1082
0,0.002701287801,0.0338269999999999,0.00654,0.0527809999999999,0.1222,0.555,0.091
1,0.00449876511,0.037362,0.0021,0.038962,0.1133,0.6075,0.0969
0,0.01965120951,0.052514,0.01242,0.006703,0.073,0.6074,0.1062999999999999
1,0.005412203927,0.029472,0.00294,0.033768,0.1093,0.5779,0.1086999999999999
1,0.04143958662,0.105989,0.0055,0.0016719999999999,0.0516,0.5468,0.1046
1,0.0083538952299999,0.022514,0.00252,0.00919,0.079,0.5592,0.0787
1,0.004125543472,0.031744,0.00443,0.056535,0.1243,0.6174,0.1103
1,0.002816504904,0.0250587,0.01221,0.052113,0.1219,0.5532,0.0955
0,0.03393373447,0.14561,0.00734,0.000811,0.043,0.504,0.0705
1,0.003689920099,0.026557,0.00189,0.040899,0.1147,0.588,0.0917
1,0.004431238488,0.0315,0.00325,0.035123,0.1104,0.5714,0.1014999999999999
1,0.01137936986,0.026255,0.00395,0.009968,0.0806,0.5714,0.1014999999999999
1,0.02639432897,0.03573,0.00307,0.001349,0.0489,0.5129,0.0763
1,0.01357078281,0.033539,0.00264,0.008961,0.0785,0.5854,0.1012
1,0.00712594387,0.030014,0.00179,0.023331,0.0997,0.5779,0.1086999999999999
0,0.007442652004,0.0230779999999999,0.01503,0.020678,0.0967,0.6108,0.0955999999999999
1,0.0163848998799999,0.030249,0.002,0.0008349999999999,0.0433,0.4126,0.0615
1,0.0078774163,0.0208049999999999,0.00216,0.002218,0.0553,0.4126,0.0615
1,0.0364454001,0.0400699999999999,0.00199,0.000288,0.0332,0.4126,0.0615
1,0.003728732147,0.02683,0.0060199999999999,0.0258339999999999,0.1022999999999999,0.5497,0.0809
1,0.0404195037,0.03362,0.00751,0.001129,0.0467,0.5446,0.0781
1,0.002243380573,0.011196,0.00199,0.0107599999999999,0.0822,0.4149,0.0563999999999999
0,0.01040599802,0.065036,0.01123,0.011394,0.0833,0.5746,0.0924
1,0.002337437946,0.019982,0.00234,0.031116,0.107,0.5005,0.0765
1,0.0072406612,0.00558,0.01945,0.0068629999999999,0.0733999999999999,0.5005,0.0765
